File name: s01_magneto_3s_19740701_19740701
Metadata Description:
dimensions:
record = UNLIMITED; //(20036 currently)
1974-07-01 00:03:55.000,3472065,  65.80,  50.40,  46.00,
1974-07-01 00:03:58.000,3472065,  65.70,  50.60,  45.90,
1974-07-01 00:04:01.000,3472065,  65.70,  50.60,  45.90,
1974-07-01 00:04:04.000,3472065,  65.50,  50.50,  46.00,
1974-07-01 00:04:07.000,3472065,  65.30,  50.60,  46.10,
1974-07-01 00:04:10.000,3472065,  65.20,  50.60,  45.90,
1974-07-01 00:04:13.000,3472065,  65.00,  50.60,  45.90,
1974-07-01 00:04:16.000,3472065,  64.90,  50.60,  45.90,
1974-07-01 00:04:19.000,3472065,  65.00,  50.60,  45.90,
1974-07-01 00:04:23.000,3472065,  65.00,  50.60,  45.90,
1974-07-01 00:04:26.000,3472065,  65.00,  50.60,  45.90,
1974-07-01 00:04:29.000,3472065,  65.20,  50.50,  46.00,
1974-07-01 00:04:32.000,3472065,  65.20,  50.50,  46.00,
1974-07-01 00:04:35.000,3472065,  65.30,  50.60,  45.90,
1974-07-01 00:04:38.000,3472065,  65.30,  50.50,  46.00,
1974-07-01 00:04:41.000,3472065,  65.30,  50.50,  46.00,
1974-07-01 00:04:44.000,3472065,  65.30,  50.30,  46.00,
1974-07-01 00:04:47.000,3472065,  65.40,  50.30,  46.00,
1974-07-01 00:04:50.000,3472065,  65.30,  50.20,  46.00,
1974-07-01 00:04:53.000,3472065,  65.30,  50.40,  46.00,
1974-07-01 00:04:56.000,3472065,  65.20,  50.30,  46.00,
1974-07-01 00:04:59.000,3472065,  65.10,  50.60,  45.90,
1974-07-01 00:05:02.000,3472065,  65.20,  50.50,  46.00,
1974-07-01 00:05:05.000,3472065,  65.00,  50.50,  46.00,
1974-07-01 00:05:08.000,3472065,  65.00,  50.60,  45.90,
1974-07-01 00:05:12.000,3472065,  65.10,  50.50,  46.00,
1974-07-01 00:05:15.000,3472065,  65.10,  50.60,  45.90,
1974-07-01 00:05:18.000,3472065,  65.10,  50.20,  46.00,
1974-07-01 00:05:21.000,3472065,  65.10,  50.50,  46.00,
1974-07-01 00:05:24.000,3472065,  65.10,  51.10,  45.90,
1974-07-01 00:05:27.000,3472065,  65.10,  50.60,  45.90,
1974-07-01 00:05:30.000,3472065,  65.10,  50.60,  45.90,
1974-07-01 00:05:33.000,3472065,  65.20,  50.60,  45.90,
1974-07-01 00:05:36.000,3472065,  65.20,  50.60,  45.90,
1974-07-01 00:05:39.000,3472065,  65.20,  50.60,  45.90,
1974-07-01 00:05:42.000,3472065,  65.10,  50.60,  45.90,
1974-07-01 00:05:45.000,3472065,  65.10,  50.60,  45.90,
1974-07-01 00:05:48.000,3472065,  65.00,  50.60,  45.90,
1974-07-01 00:05:51.000,3472065,  65.00,  50.60,  45.90,
1974-07-01 00:05:54.000,3472065,  65.10,  50.60,  45.90,
1974-07-01 00:05:58.000,3472065,  65.00,  50.60,  45.90,
1974-07-01 00:06:01.000,3472065,  65.00,  50.60,  45.90,
1974-07-01 00:06:04.000,3472065,  65.10,  50.60,  45.90,
1974-07-01 00:06:07.000,3472065,  64.90,  50.60,  45.90,
1974-07-01 00:06:10.000,3472065,  65.00,  50.70,  45.90,
1974-07-01 00:06:16.000,3472065,  65.00,  50.80,  45.90,
1974-07-01 00:06:19.000,3472065,  65.00,  51.00,  45.90,
1974-07-01 00:06:22.000,3472065,  64.80,  51.00,  45.90,
1974-07-01 00:06:25.000,3472065,  64.90,  51.00,  45.90,
1974-07-01 00:06:28.000,3472065,  64.80,  51.00,  45.90,
1974-07-01 00:06:31.000,3472065,  64.90,  50.90,  45.90,
1974-07-01 00:06:34.000,3472065,  64.90,  51.00,  45.90,
1974-07-01 00:06:37.000,3472065,  64.80,  51.00,  45.90,
1974-07-01 00:06:43.000,3472065,  64.70,  51.00,  45.90,
1974-07-01 00:06:47.000,3472065,  64.80,  51.00,  45.90,
1974-07-01 00:06:50.000,3472065,  64.80,  51.00,  45.90,
1974-07-01 00:06:53.000,3472065,  64.70,  51.00,  45.90,
1974-07-01 00:06:56.000,3472065,  64.60,  51.00,  45.90,
1974-07-01 00:06:59.000,3472065,  64.60,  51.00,  45.90,
1974-07-01 00:07:02.000,3472065,  64.60,  51.00,  45.90,
1974-07-01 00:07:05.000,3472065,  64.60,  51.10,  45.90,
1974-07-01 00:07:08.000,3472065,  64.70,  51.20,  45.80,
1974-07-01 00:07:11.000,3472065,  64.70,  51.00,  45.90,
1974-07-01 00:07:14.000,3472065,  64.70,  51.40,  45.80,
1974-07-01 00:07:17.000,3472065,  64.70,  51.30,  45.80,
1974-07-01 00:07:20.000,3472065,  64.50,  51.40,  45.80,
1974-07-01 00:07:23.000,3472065,  64.70,  51.40,  45.80,
1974-07-01 00:07:26.000,3472065,  64.70,  51.40,  45.80,
1974-07-01 00:07:29.000,3472065,  64.80,  51.40,  45.80,
1974-07-01 00:07:33.000,3472065,  64.80,  51.40,  45.80,
1974-07-01 00:07:36.000,3472065,  64.80,  51.30,  45.80,
1974-07-01 00:07:39.000,3472065,  64.60,  51.40,  45.80,
1974-07-01 00:07:42.000,3472065,  64.60,  51.40,  45.80,
1974-07-01 00:07:45.000,3472065,  64.50,  51.30,  45.80,
1974-07-01 00:07:48.000,3472065,  64.50,  51.40,  45.80,
1974-07-01 00:07:51.000,3472065,  64.50,  51.40,  45.80,
1974-07-01 00:07:54.000,3472065,  64.50,  51.40,  45.80,
1974-07-01 00:07:57.000,3472065,  64.50,  51.40,  45.80,
1974-07-01 00:08:00.000,3472065,  64.30,  51.40,  45.80,
1974-07-01 00:08:03.000,3472065,  64.30,  51.40,  45.80,
1974-07-01 00:08:06.000,3472065,  64.40,  51.40,  45.80,
1974-07-01 00:08:09.000,3472065,  64.40,  51.40,  45.80,
1974-07-01 00:08:12.000,3472065,  64.40,  51.40,  45.80,
1974-07-01 00:08:15.000,3472065,  64.40,  52.00,  45.70,
1974-07-01 00:08:18.000,3472065,  64.40,  51.40,  45.80,
1974-07-01 00:08:22.000,3472065,  64.40,  51.40,  45.80,
1974-07-01 00:08:25.000,3472065,  64.50,  51.40,  45.80,
1974-07-01 00:08:28.000,3472065,  64.50,  51.40,  45.80,
1974-07-01 00:08:31.000,3472065,  64.50,  51.40,  45.80,
1974-07-01 00:08:34.000,3472065,  64.50,  51.40,  45.80,
1974-07-01 00:08:37.000,3472065,  64.30,  51.40,  45.80,
1974-07-01 00:08:40.000,3472065,  64.30,  51.40,  45.80,
1974-07-01 00:08:43.000,3472065,  64.40,  51.40,  45.80,
1974-07-01 00:08:46.000,3472065,  64.40,  51.40,  45.80,
1974-07-01 00:08:49.000,3472065,  64.40,  51.40,  45.80,
1974-07-01 00:08:52.000,3472065,  64.40,  51.40,  45.80,
1974-07-01 00:08:55.000,3472065,  64.30,  51.40,  45.80,
1974-07-01 00:08:58.000,3472065,  64.40,  51.60,  45.80,
1974-07-01 00:09:01.000,3472065,  64.40,  51.40,  45.80,
1974-07-01 00:09:04.000,3472065,  64.30,  51.40,  45.80,
1974-07-01 00:09:07.000,3472065,  64.30,  51.40,  45.80,
1974-07-01 00:09:11.000,3472065,  64.30,  51.40,  45.90,
1974-07-01 00:09:14.000,3472065,  64.30,  51.40,  45.80,
1974-07-01 00:09:17.000,3472065,  64.20,  51.40,  45.80,
1974-07-01 00:09:20.000,3472065,  64.20,  51.40,  45.80,
1974-07-01 00:09:23.000,3472065,  64.20,  51.40,  45.80,
1974-07-01 00:09:26.000,3472065,  64.20,  51.40,  45.90,
1974-07-01 00:09:29.000,3472065,  64.20,  51.40,  45.80,
1974-07-01 00:09:32.000,3472065,  64.20,  51.40,  45.80,
1974-07-01 00:09:35.000,3472065,  64.20,  51.40,  45.80,
1974-07-01 00:09:38.000,3472065,  64.20,  51.40,  45.80,
1974-07-01 00:09:41.000,3472065,  64.20,  51.40,  45.80,
1974-07-01 00:09:44.000,3472065,  64.90,  51.40,  45.90,
1974-07-01 00:09:47.000,3472065,  64.20,  51.40,  45.80,
1974-07-01 00:09:50.000,3472065,  64.10,  51.40,  45.90,
1974-07-01 00:09:53.000,3472065,  64.10,  51.40,  45.80,
1974-07-01 00:09:57.000,3472065,  64.10,  51.40,  45.80,
1974-07-01 00:10:00.000,3472065,  64.20,  51.40,  45.80,
1974-07-01 00:10:03.000,3472065,  64.20,  51.40,  45.80,
1974-07-01 00:10:06.000,3472065,  64.10,  51.40,  45.80,
1974-07-01 00:10:09.000,3472065,  64.00,  51.40,  45.90,
1974-07-01 00:10:12.000,3472065,  64.00,  51.40,  45.80,
1974-07-01 00:10:15.000,3472065,  64.00,  51.40,  45.80,
1974-07-01 00:10:18.000,3472065,  64.10,  51.40,  45.90,
1974-07-01 00:10:21.000,3472065,  64.10,  51.40,  45.80,
1974-07-01 00:10:24.000,3472065,  64.10,  51.40,  45.80,
1974-07-01 00:10:27.000,3472065,  64.00,  51.40,  45.80,
1974-07-01 00:10:30.000,3472065,  63.90,  51.40,  45.80,
1974-07-01 00:10:33.000,3472065,  63.90,  51.40,  45.90,
1974-07-01 00:10:36.000,3472065,  63.90,  51.40,  45.80,
1974-07-01 00:10:39.000,3472065,  63.80,  51.60,  45.80,
1974-07-01 00:10:42.000,3472065,  63.80,  51.60,  45.90,
1974-07-01 00:10:46.000,3472065,  63.80,  51.50,  45.80,
1974-07-01 00:10:49.000,3472065,  63.80,  51.60,  45.80,
1974-07-01 00:10:52.000,3472065,  63.80,  51.80,  45.70,
1974-07-01 00:10:55.000,3472065,  63.90,  51.70,  45.80,
1974-07-01 00:10:58.000,3472065,  64.00,  51.80,  45.80,
1974-07-01 00:11:01.000,3472065,  63.90,  51.70,  45.80,
1974-07-01 00:11:04.000,3472065,  63.90,  51.70,  45.80,
1974-07-01 00:11:07.000,3472065,  63.90,  51.80,  45.80,
1974-07-01 00:11:10.000,3472065,  63.90,  51.70,  45.80,
1974-07-01 00:11:13.000,3472065,  63.80,  51.80,  45.70,
1974-07-01 00:11:16.000,3472065,  63.70,  51.70,  45.90,
1974-07-01 00:11:19.000,3472065,  63.80,  51.80,  45.70,
1974-07-01 00:11:22.000,3472065,  63.80,  51.80,  45.70,
1974-07-01 00:11:25.000,3472065,  63.70,  51.70,  45.90,
1974-07-01 00:11:28.000,3472065,  63.80,  51.80,  45.70,
1974-07-01 00:11:31.000,3472065,  63.60,  51.80,  45.70,
1974-07-01 00:11:35.000,3472065,  63.70,  51.70,  45.80,
1974-07-01 00:11:38.000,3472065,  63.70,  51.80,  46.30,
1974-07-01 00:11:41.000,3472065,  63.70,  51.80,  45.70,
1974-07-01 00:11:44.000,3472065,  63.60,  51.70,  45.80,
1974-07-01 00:11:47.000,3472065,  63.60,  51.80,  45.70,
1974-07-01 00:11:50.000,3472065,  63.50,  51.80,  45.70,
1974-07-01 00:11:53.000,3472065,  63.60,  51.80,  45.70,
1974-07-01 00:11:56.000,3472065,  63.60,  51.80,  45.70,
1974-07-01 00:11:59.000,3472065,  63.60,  51.80,  45.70,
1974-07-01 00:12:02.000,3472065,  63.60,  51.80,  45.70,
1974-07-01 00:12:05.000,3472065,  63.60,  51.80,  45.70,
1974-07-01 00:12:08.000,3472065,  63.60,  51.80,  45.70,
1974-07-01 00:12:11.000,3472065,  63.60,  51.80,  45.70,
1974-07-01 00:12:14.000,3472065,  63.70,  51.80,  45.70,
1974-07-01 00:12:17.000,3472065,  63.70,  51.80,  45.70,
1974-07-01 00:12:21.000,3472065,  63.70,  51.80,  45.70,
1974-07-01 00:12:24.000,3472065,  63.70,  51.80,  45.70,
1974-07-01 00:12:27.000,3472065,  63.60,  51.90,  45.70,
1974-07-01 00:12:30.000,3472065,  63.60,  51.80,  45.70,
1974-07-01 00:12:33.000,3472065,  63.60,  51.80,  45.70,
1974-07-01 00:12:36.000,3472065,  63.60,  51.80,  45.70,
1974-07-01 00:12:39.000,3472065,  63.60,  51.80,  45.70,
1974-07-01 00:12:42.000,3472065,  63.60,  51.80,  45.70,
1974-07-01 00:12:45.000,3472065,  63.60,  51.80,  45.70,
1974-07-01 00:12:48.000,3472065,  63.40,  51.80,  45.70,
1974-07-01 00:12:51.000,3472065,  63.40,  51.80,  45.70,
1974-07-01 00:12:54.000,3472065,  63.50,  51.80,  45.70,
1974-07-01 00:12:57.000,3472065,  63.50,  51.80,  45.70,
1974-07-01 00:13:00.000,3472065,  63.50,  51.80,  45.70,
1974-07-01 00:13:03.000,3472065,  63.50,  51.90,  45.70,
1974-07-01 00:13:06.000,3472065,  63.50,  51.90,  45.70,
1974-07-01 00:13:10.000,3472065,  63.60,  51.80,  45.70,
1974-07-01 00:13:13.000,3472065,  63.60,  51.80,  45.70,
1974-07-01 00:13:16.000,3472065,  63.50,  51.80,  45.70,
1974-07-01 00:13:19.000,3472065,  63.40,  51.90,  45.70,
1974-07-01 00:13:22.000,3472065,  63.40,  51.80,  45.70,
1974-07-01 00:13:25.000,3472065,  63.40,  51.80,  45.70,
1974-07-01 00:13:28.000,3472065,  63.50,  51.90,  45.70,
1974-07-01 00:13:31.000,3472065,  63.50,  51.80,  45.70,
1974-07-01 00:13:34.000,3472065,  63.30,  51.90,  45.70,
1974-07-01 00:13:37.000,3472065,  63.40,  51.80,  45.70,
1974-07-01 00:13:40.000,3472065,  63.50,  51.80,  45.70,
1974-07-01 00:13:43.000,3472065,  63.40,  51.90,  45.70,
1974-07-01 00:13:46.000,3472065,  63.30,  51.80,  45.70,
1974-07-01 00:13:49.000,3472065,  63.40,  51.90,  45.70,
1974-07-01 00:13:56.000,3472065,  63.30,  51.80,  45.70,
1974-07-01 00:13:59.000,3472065,  63.40,  52.10,  45.70,
1974-07-01 00:14:02.000,3472065,  63.20,  51.80,  45.70,
1974-07-01 00:14:05.000,3472065,  63.20,  52.00,  45.70,
1974-07-01 00:14:08.000,3472065,  63.30,  52.00,  45.70,
1974-07-01 00:14:11.000,3472065,  63.30,  52.20,  45.70,
1974-07-01 00:14:14.000,3472065,  63.30,  52.10,  45.70,
1974-07-01 00:14:17.000,3472065,  63.30,  52.10,  45.70,
1974-07-01 00:14:20.000,3472065,  63.20,  52.10,  45.70,
1974-07-01 00:14:23.000,3472065,  63.20,  52.20,  45.70,
1974-07-01 00:14:26.000,3472065,  63.10,  52.20,  45.70,
1974-07-01 00:14:29.000,3472065,  63.20,  52.00,  45.70,
1974-07-01 00:14:32.000,3472065,  63.20,  52.20,  45.70,
1974-07-01 00:14:35.000,3472065,  63.20,  52.00,  45.70,
1974-07-01 00:14:38.000,3472065,  63.10,  52.00,  45.70,
1974-07-01 00:14:41.000,3472065,  63.00,  52.10,  45.70,
1974-07-01 00:14:45.000,3472065,  63.10,  52.00,  45.70,
1974-07-01 00:14:48.000,3472065,  63.10,  52.00,  45.70,
1974-07-01 00:14:51.000,3472065,  63.10,  52.80,  45.50,
1974-07-01 00:14:54.000,3472065,  63.00,  51.90,  45.70,
1974-07-01 00:14:57.000,3472065,  62.90,  52.10,  45.70,
1974-07-01 00:15:00.000,3472065,  62.90,  52.20,  45.60,
1974-07-01 00:15:03.000,3472065,  63.00,  52.00,  45.70,
1974-07-01 00:15:06.000,3472065,  63.00,  52.20,  45.70,
1974-07-01 00:15:09.000,3472065,  63.00,  52.10,  45.70,
1974-07-01 00:15:12.000,3472065,  62.80,  52.20,  45.70,
1974-07-01 00:15:15.000,3472065,  62.90,  52.20,  45.70,
1974-07-01 00:15:18.000,3472065,  63.00,  52.20,  45.70,
1974-07-01 00:15:21.000,3472065,  62.80,  52.20,  45.70,
1974-07-01 00:15:24.000,3472065,  62.90,  52.20,  45.70,
1974-07-01 00:15:27.000,3472065,  62.90,  52.20,  45.70,
1974-07-01 00:15:30.000,3472065,  62.90,  52.20,  45.70,
1974-07-01 00:15:34.000,3472065,  62.90,  52.20,  45.70,
1974-07-01 00:15:37.000,3472065,  62.90,  52.20,  45.70,
1974-07-01 00:15:40.000,3472065,  62.90,  52.20,  45.70,
1974-07-01 00:15:43.000,3472065,  63.00,  52.20,  45.70,
1974-07-01 00:15:46.000,3472065,  63.00,  52.20,  45.70,
1974-07-01 00:15:49.000,3472065,  63.10,  52.20,  45.70,
1974-07-01 00:15:52.000,3472065,  63.20,  52.10,  45.70,
1974-07-01 00:15:55.000,3472065,  63.10,  52.20,  45.70,
1974-07-01 00:15:58.000,3472065,  63.00,  52.20,  45.70,
1974-07-01 00:16:01.000,3472065,  63.00,  52.10,  45.80,
1974-07-01 00:16:04.000,3472065,  63.10,  52.20,  45.70,
1974-07-01 00:16:07.000,3472065,  63.00,  52.20,  45.70,
1974-07-01 00:16:10.000,3472065,  62.90,  52.10,  45.70,
1974-07-01 00:16:13.000,3472065,  62.90,  52.20,  45.70,
1974-07-01 00:16:16.000,3472065,  62.90,  52.10,  45.70,
1974-07-01 00:16:20.000,3472065,  62.80,  52.20,  45.70,
1974-07-01 00:16:23.000,3472065,  62.80,  52.20,  45.70,
1974-07-01 00:16:26.000,3472065,  62.80,  52.20,  45.70,
1974-07-01 00:16:29.000,3472065,  62.80,  52.20,  45.70,
1974-07-01 00:16:32.000,3472065,  62.80,  52.20,  45.60,
1974-07-01 00:16:35.000,3472065,  62.70,  52.10,  45.70,
1974-07-01 00:16:38.000,3472065,  62.80,  52.20,  45.60,
1974-07-01 00:16:41.000,3472065,  62.70,  52.20,  45.70,
1974-07-01 00:16:44.000,3472065,  62.70,  51.60,  45.70,
1974-07-01 00:16:47.000,3472065,  62.70,  52.20,  45.70,
1974-07-01 00:16:50.000,3472065,  62.70,  52.10,  45.70,
1974-07-01 00:16:53.000,3472065,  62.70,  52.00,  45.70,
1974-07-01 00:16:56.000,3472065,  62.70,  52.20,  45.70,
1974-07-01 00:16:59.000,3472065,  62.70,  52.10,  45.70,
1974-07-01 00:17:02.000,3472065,  62.60,  52.20,  45.70,
1974-07-01 00:17:05.000,3472065,  62.60,  52.20,  45.70,
1974-07-01 00:17:09.000,3472065,  62.60,  52.10,  45.60,
1974-07-01 00:17:12.000,3472081,  62.60,  52.20,  45.70,
1974-07-01 00:17:15.000,3472065,  62.60,  52.20,  45.60,
1974-07-01 00:17:18.000,3472065,  62.70,  52.20,  45.60,
1974-07-01 00:17:21.000,3472065,  62.60,  52.20,  45.60,
1974-07-01 00:17:24.000,3472065,  62.50,  52.10,  45.70,
1974-07-01 00:17:27.000,3472065,  62.50,  52.20,  45.70,
1974-07-01 00:17:30.000,3472065,  62.40,  52.20,  45.70,
1974-07-01 00:17:33.000,3472065,  62.30,  52.20,  45.60,
1974-07-01 00:17:36.000,3472065,  62.20,  52.20,  45.60,
1974-07-01 00:17:39.000,3472065,  62.10,  52.20,  45.70,
1974-07-01 00:17:42.000,3472065,  62.00,  52.20,  45.60,
1974-07-01 00:17:45.000,3472065,  61.90,  52.20,  45.60,
1974-07-01 00:17:48.000,3472065,  61.80,  52.20,  45.70,
1974-07-01 00:17:51.000,3472065,  61.80,  52.20,  45.60,
1974-07-01 00:17:55.000,3472065,  61.90,  52.20,  45.60,
1974-07-01 00:17:58.000,3472065,  62.10,  52.20,  45.60,
1974-07-01 00:18:01.000,3472065,  62.10,  52.10,  45.40,
1974-07-01 00:18:04.000,3472065,  62.30,  52.10,  45.50,
1974-07-01 00:18:07.000,3472065,  62.60,  52.20,  45.60,
1974-07-01 00:18:10.000,3472065,  62.90,  52.10,  45.50,
1974-07-01 00:18:13.000,3472065,  62.90,  52.20,  45.60,
1974-07-01 00:18:16.000,3472065,  61.30,  52.10,  45.50,
1974-07-01 00:18:19.000,3472065,  61.40,  52.20,  45.70,
1974-07-01 00:18:22.000,3472065,  61.60,  52.20,  45.60,
1974-07-01 00:18:25.000,3472065,  61.70,  52.20,  45.60,
1974-07-01 00:18:28.000,3472065,  61.70,  52.10,  45.50,
1974-07-01 00:18:31.000,3472065,  61.60,  52.20,  45.70,
1974-07-01 00:18:34.000,3472065,  61.70,  52.10,  45.40,
1974-07-01 00:18:37.000,3472065,  61.70,  52.20,  45.60,
1974-07-01 00:18:40.000,3472065,  61.70,  52.10,  45.50,
1974-07-01 00:18:44.000,3472065,  61.60,  52.10,  45.30,
1974-07-01 00:18:47.000,3472065,  61.60,  52.10,  45.40,
